city,company,title,state,description
Anderson,Midwest POS Solutions,Retail POS technician,IN,"
                        New opportunity for Counterpoint POS users (Anderson)  compensation: Hourly + Benefits  Midwest POS Solutions is adding a full-time Counterpoint Project Leader to our team. The ideal candidate will have a background in Retail environments using Counterpoint software and experience within a call center environment. The candidate will work directly with the support and sales teams providing technica...
                    "
Fort Wayne,WaterFurnace International,Embedded Software Engineer,IN,"
                        WaterFurnace International, the most respected name in geothermal heat pumps for both residential and commercial applications, seeks a skilled professional to program embedded controls for various product applications.  Our mission is to bring energy efficient products and technologies to our Customers. This position supports the product development of geothermal heat pumps for residential and com...
                    "
,,,,
Knoxville,Southeastern Technology Consultants,Technical Support Specialist,TN,"
                        Southeastern Technology Consultants is working with a client in Knoxville, TN seeking a Technical Support Specialist to join their team. This role will be responsible for providing technical support and solving issues ranging from password resets to software and network issues. Excellent written and verbal communication skills required.  Requirements  - Previous experience working with Active Dire...
                    "
Austin,"Continuum Applied Technology, Inc.",Implementation Coordinator,TX,"
                        At Continuum Applied Technology, we develop leading-edge software for an amazing industry, and our standards for support are as high as those for product development. Superior product support is one of the core foundations of our company and a large part of what makes our customers choose us over our competitors. Support of CORRIDOR Software begins with the Implementation team, who develop relatio...
                    "
Piscataway,Kodiak Systems,Help Desk Analyst,NJ,"
                        Position: Help Desk Analyst  Status: Full Time  Work Location: Piscataway, NJ  Work Hours: Shifts start at 10 AM, and 12 PM  Job Description: The Kodiak Help Desk Analyst provides front line support and works closely with clients to address their requests accurately and efficiently. Strong communication skills and a desire to provide excellent service as a representative of our company are importa...
                    "
Arlington,"Advanced Systems Development, Inc.",Mid. to Sr. IA Security HBSS Engineer- Top Secret clearance required,VA,"
                        Mid. to Sr. Information Assurance Security HBSS Engineer - Joint Staff Contract  Location: Pentagon  Security Clearance: Top Secret  Shift/Hours: 1  FT/PT Status: Full Time Employment  Job Code: 2014:BD/PROPO-010  Essential Duties & Responsibilities:  REQUIRED  JOB SUMMARY:Assists with planning, organizing, and managing security, disaster recovery, and similar functions related to information syst...
                    "
Millbrae,OSI Engineering,"Seeking DevOps, Web Services Engineer for HOT Mobile Android OS",CA,"
                        MUST HAVE  Solid AWS experience  Experience selecting tools to monitor services  Experience with path of escalation for services outages  Design service infrastructure experience  Deploying services experience  Experience assisting Build Managers  Experience managing services teams is a plus  Experience with Servers outside of AWS is preferred  Some domestic travel may be required  Location: Palo,...
                    "
Oklahoma City,OAKTREE SOFTWARE INC,AS/400 OPS support,OK,"
                        A Fortune 500 Oil and Gas Company in Oklahoma City, OK is searching for a AS/400 Ops Support professional to join their growing team!  Here's the Scoop:  Provide ongoing support of AS/400 environment and business applications. Application support would primarily consist of Artesia Data Systems software and in-house developed enhancements. Work closely with the Operations Accounting business units ...
                    "
New York City,Viotech Solutions,SERVICE DESK ANALYST I,NY,"
                        TITLE: Service Desk Analyst I  REQUIRED SKILLS: 2+Experience  DURATION: Consult to Perm  LOCAL CANDIDATES PREFFERED!! RELOCATION UNAVAILABLE!!  Job Description: The Service Desk Analyst I is responsible to provide direct professional customer service support and to be able to effectively manage sensitive and complex customer requests. The Service Desk Analyst will work closely with the Level II su...
                    "
Charlotte,Principle Solutions Group,Senior Citrix Engineer,NC,"
                        Senior Citrix Engineer  A large company in the Charlotte area is looking to add a Senior Citrix Engineer to their Virtualization team. This team builds and supports an enterprise environment which includes several hundred virtual applications and virtual desktops. The Citrix Engineer will be implementing a high-demand and high-availability environment with increasing virtualization services.  This...
                    "
Cincinnati,"STS International, Inc.",Server Administrator II,OH,"
                        Server Administrator II– Cincinnati, OH  Our company is looking for an experienced Server Administrator to provide hands-on network infrastructure support within global Cisco data center environments. You will work as a member of the Global Services group.  Duties include:  • Design, deploy, administer physical and virtual servers residing in redundant Cisco data center environments on a daily bas...
                    "
Chicago,Trading Technologies,Systems Engineer,IL,"
                        Due to multiple new product initiatives, Trading Technologies is looking to add a Systems Engineer to our Monitoring Team.  Responsibilities:  Design and implement business solutions on the ServiceNow ITSM platform  Develop monitoring solutions for TT’s 24x6 financial trading infrastructure  Build, monitor and maintain enterprise systems integrations, e.g., ServiceNow, CRM, Jira, Splunk  Provide o...
                    "
San Antonio,Smart Synergies Inc,Software Developer,TX,"
                        This position requires experience developing business applications in either the public or private sector. The candidate will work with a team of software developers and domain experts to design and develop data-intensive, web-based ASP.NET applications using the MS MVC framework in support of multiple federal agencies.  Strong demonstrated experience developing web-based applications with the Mic...
                    "
Gaithersburg,OPIS,Database Developer,MD,"
                        Oil Price Information Service (OPIS) is looking for SQL geeks!  Are you an obsessive problem solver who loves a challenge?  Did you go to PAX East to get your hands on the latest and greatest?  Have you gotten that same adrenaline rush on a project deploy as when you pentakill in Gold I?...or more realistically Bronze IV?  Do you go to sleep thinking about code? Ever woken up with the answer?  Did...
                    "
Austin,CyberCoders,"Lead Front End Engineer - HTML,CSS,Javascript - Web/SAAS",TX,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Lead Front End Engineer - HTML,CSS,Javascript - Web/SAAS  Austin, TX  Full-Time $120,000 - $150,000  Apply  Apply  Lead Front End Engineer - HTML,CSS,Javascript - Web/SAAS  Austin, TX  Full-Time $120,000 - $150,000  Apply  Job Details  If you are a Technical Lead Front End Engineer with experience, please read o...
                    "
,,,,
Grand Prairie,CyberCoders,"Analytics Engineer - Python and/or Ruby, NoSQL, MySQL",TX,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Analytics Engineer  Grand Prairie, TX  Full-Time $80,000 - $130,000  Apply  Apply  Analytics Engineer  Grand Prairie, TX  Full-Time $80,000 - $130,000  Apply  Job Details  If you are an Analytics Engineer with extensive database experience, please read on!  Located in Dallas, we are a team of statisticians, data...
                    "
Encino,CyberCoders,Sr. Information Security Analyst,CA,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Sr. Information Security Analyst  Encino, CA  Full-Time $110,000 - $140,000  Apply  Apply  Sr. Information Security Analyst  Encino, CA  Full-Time $110,000 - $140,000  Apply  Job Details  Located in Encino, we're one of the largest independent personal lines agency operations in the nation, providing auto and ho...
                    "
Mountain View,CyberCoders,HPC Systems Developer,CA,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  HPC Systems Developer  Mountain View, CA  Full-Time $80,000 - $140,000  Apply  Apply  HPC Systems Developer  Mountain View, CA  Full-Time $80,000 - $140,000  Apply  Job Details  Leading Artificial Intelligence Technology Start Up seeks talented HPC Systems Developer to join team of academic elites changing the w...
                    "
Laguna Hills,CyberCoders,Software Development Team Manager - ERP Development,CA,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Software Development Team Manager - ERP Development  Laguna Hills, CA  Unspecified  Apply  Apply  Software Development Team Manager - ERP Development  Laguna Hills, CA  Unspecified  Apply  Job Details  If you are a Software Development Team Manager with experience, please read on!  Based in sunny Laguna Hills, C...
                    "
Portland,CyberCoders,Director of UI Design,OR,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Director of UI Design  Portland, OR  Full-Time $90,000 - $130,000  Apply  Apply  Director of UI Design  Portland, OR  Full-Time $90,000 - $130,000  Apply  Job Details  We're looking for designers that have shipped numerous large responsive web and mobile apps. You may have been a creative director or art directo...
                    "
Aurora,CyberCoders,.NET Developer - Leading Process Automation Systems!,OH,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  .NET Developer  Aurora, OH  Full-Time $70,000 - $110,000  Apply  Apply  .NET Developer  Aurora, OH  Full-Time $70,000 - $110,000  Apply  Job Details  This is an amazing new opportunity for a .Net Developer!  Based in Aurora OH, we are a leading provider of process automation systems throughout the nation! Establ...
                    "
Houston,Crescent IT Systems,System Administrator,TX,"
                        IT System Administrator in Houston,Texas  Crescent IT Systems, Inc.- Houston, Texas Area  Job Description  This is a direct hire position. We are not a recruiting company.  We are currently looking for several motivated, goal-oriented IT System Administrators to join our team. Crescent IT Systems is seeking experienced Technical Consultants to primarily administer and troubleshoot Microsoft Window...
                    "
Overland Park,Tri-Com Technical Services,Systems Administrator,KS,"
                        System Administrator  Must possess an advanced knowledge in at least one to two of the following operating system {Tru64, OpenVMS, Windows Server, Linux, and AIX} and their associated hardware platforms.  Create and enforce system standards established by the system administration team.  Must be proficient in system performance monitoring and capacity planning.  Must be able to evaluate and recomm...
                    "
Los Angeles,Taproot Foundation,Salesforce Configuration Specialists: Join the Pro Bono Movement!,CA,"
                        Do good for your community while using your professional expertise and working with talented peers on a highly structured pro bono project! Taproot makes it easy to make a difference.  Taproot Foundation is a nonprofit organization that makes business talent available to organizations that are working to improve society. We engage marketing, technology, strategy, design, and HR management professi...
                    "
Seattle,Company Confidential,Senior Network Administrator - Desktop Support,WA,"
                        Full-Time Permanent / Direct Hire Position  Location: Downtown Seattle  Environment: Stable, long-term opportunity with a rock solid company!  Position will be equal split between network administration, server troubleshooting and desktop support in a WINDOWS environment. You will be a jack of all trades working with a variety of different tools and technologies, as well as having an influence on ...
                    "
West McLean,"FOLIOfn, Inc",Java Software Engineer,VA,"
                        FOLIO Investing is seeking a Java Software Engineer to join our technology team. This is a great opportunity to participate in the development and testing of Java applications used to develop and enhance our trading platform.  Responsibilities:  Research, design and develop market-leading trading system components  Test Engineering - help in creating automated tests to exercise codes  Develop back...
                    "
McHenry,CyberCoders,"Senior Oracle EBS Developer - e-Business Suite, Oracle, XML",IL,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Senior Oracle EBS Developer  McHenry, IL  Full-Time $80,000 - $120,000  Apply  Apply  Senior Oracle EBS Developer  McHenry, IL  Full-Time $80,000 - $120,000  Apply  Job Details  Our company is committed to leading the global aftermarket as the premier manufacturer of automotive braking components. Our primary fo...
                    "
Rockville,PeopleCom,Sr. SQL Database Engineer / Administrator,MD,"
                        Title: Sr. SQL Database Engineer / Administrator  Location: Rockville, MD  Work Authorization: Those authorized to work in the U.S. without sponsorship will be considered. We are not able to sponsor at this time  This is a contract-hire on a friendly, professional team at NIH. You will be working with Software Developers and reporting right to the PM.  Job Summary:  The Senior SQL DB Engineer/Admi...
                    "
Detroit,"Infomatics, Inc.",SAP SD Function,MI,"
                        Infomatics, Inc is a leading provider of technology consulting and staff augmentation services with offices in the US, India and the Middle-east. We have been rated for four years by Inc-500/5000 as one of the fastest growing private companies in the US. Our clientele includes many Fortune 500 enterprises across the country.  One of our direct client is looking to hire ""SAP SD Function ""  Location...
                    "
Phoenix,CyberCoders,"Salesforce Developer - APEX, Salesforce, Visualforce",AZ,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Salesforce Developer  Phoenix, AZ  Full-Time $80,000 - $120,000  Apply  Apply  Salesforce Developer  Phoenix, AZ  Full-Time $80,000 - $120,000  Apply  Job Details  If you are a Salesforce Developer with experience, please read on!  We are an up and coming company that assists small to medium size companies by gr...
                    "
Iowa City,CyberCoders,Senior Adaptive Mesh Refinement (AMR) Developer - Adaptive Mesh,IA,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Senior Adaptive Mesh Refinement (AMR) Developer  Iowa City, IA  Unspecified  Apply  Apply  Senior Adaptive Mesh Refinement (AMR) Developer  Iowa City, IA  Unspecified  Apply  Job Details  If you are a Senior Adaptive Mesh Refinement (AMR) Developer with with experience in the development of advanced  algorithms ...
                    "
Pittsburgh,CyberCoders,Senior Software Engineer,PA,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Senior Software Engineer  Pittsburgh, PA  Full-Time $95,000 - $100,000  Apply  Apply  Senior Software Engineer  Pittsburgh, PA  Full-Time $95,000 - $100,000  Apply  Job Details  If you are a Software Engineer with experience, please read on!  We are in search of a user interface developer with a passion for engi...
                    "
Boulder/Fort Collins,IBM Corporation,Database Administrator,CO,"
                        Want your skills to make a difference in how the world works - for the better? IBM is seeking keen-minded Database Administrators interested in working next to some of the best IT Specialists in the industry.  The Database Administrator will provide services for Oracle Database 10g and 11g for a Federal contract.  Responsibilities include the following:  Perform database backup/recovery.  Perform ...
                    "
New York,IBM Corporation,Java Web Application Developer,NY,"
                        IBM is seeking to hire a Java Web Application Developer.  Join the IBM Global Technology Services (GTS) team to develop cutting edge web application for autonomic IT management services and make an impact in the global marketplace with improved efficiency and quality of IT management services.  We are looking for an experienced Java Web Application Developer with the ability to work autonomously a...
                    "
Dallas,IBM Corporation,General Human Resources (HR) Generalist,TX,"
                        Empowered. Innovative. Inspiring. Creative. Intense. These are all words we use to describe life at SoftLayer.  The Human Resources (HR) team is challenged with maintaining policies and procedures, companywide. We are looking for a HR Generalist in our Dallas office with demonstrated people and organizational skills, the ability to multitask and attention to detail.  If you are a talented professi...
                    "
Austin,IBM Corporation,Senior Technical Staff Member for StoredIQ platform,TX,"
                        IBM seeks to hire a Senior Technical Staff Member. This position allows the candidate to develop innovative new technology products, partner with research and other business partners across the globe. The candidate will have experience in developing software and continuous delivery. The candidate will build skills across all things related to Big Data while also building the skills and careers of ...
                    "
Atlanta,IBM Corporation,Curam Software - Technical Consultant,GA,"
                        IBM's #1 Curam software solutions team in the world is searching for experienced Curam Technical Consultants to join our team in 2015!  As a Technical Consultant on our Curam team, you will have significant responsibility in the delivery of project implementations . You will continue to develop expertise in the technical aspects of the Curam Business Application Suite (CBAS) and work closely with ...
                    "
Atlanta,IBM Corporation,Curam Software-Senior Business Managing Consultant,GA,"
                        IBMs Curam Software Group is now searching for a senior level Business Consultant with Curam product experience to join our team!  As a senior Business Analyst and Managing Consultant in the core Curam team, you will have significant responsibility for the delivery of project implementations and will act as a Subject Matter Expert (SME) and primary resource for Curam implementations.  Job Respons...
                    "
Atlanta,IBM Corporation,Business Analytics and Strategy Associate Partner - Supply Chain Analytics - Distribution Sector,GA,"
                        The Business Analytics & Strategy (BA&S) Associate Partner role requires the candidate to understand the business challenges of Distribution Sector clients. Through working with both client and IBM staff, this role will develop solutions that solve the clients business and technology challenges by utilizing understanding of the Distribution sector industry and ability to apply service transformat...
                    "
Research Triangle Park,IBM Corporation,Cloud Software Developer,NC,"
                        IBM's Cloud offerings are an essential part of IBM's transformation. We are on a very exciting journey and we want you to come and join us! Bluemix DevOps Services is the core of the Bluemix developer experience. It provides the developer with everything they need to work with Bluemix including projects with source control, task tracking, agile planning and a powerful deployment pipeline, as well ...
                    "
Chicago,CyberCoders,"System Administrator - CentOS, Azure, Redhat",IL,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  System Administrator - CentOS, Azure, Redhat  Chicago, IL  Unspecified  Apply  Apply  System Administrator - CentOS, Azure, Redhat  Chicago, IL  Unspecified  Apply  Job Details  If you are a seasoned System Administrator with expertise in both Windows and Linux-based Servers please read on!  Located in the heart...
                    "
,,,,
Boulder,CyberCoders,"Sitecore Developer - C#, ASP.NET MVC",CO,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Sitecore Developer - C#, ASP.NET MVC  Boulder, CO  Full-Time $80,000 - $120,000  Apply  Apply  Sitecore Developer - C#, ASP.NET MVC  Boulder, CO  Full-Time $80,000 - $120,000  Apply  Job Details  We are a full service web design agency based in Boulder, CO. We specialize in interactive design, web development, a...
                    "
Palo Alto,CyberCoders,"Production Support Engineer - Linux Systems, Web-based product s",CA,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Production Support Engineer  Palo Alto, CA; San Mateo, CA  Full-Time $70,000 - $110,000  Apply  Apply  Production Support Engineer  Palo Alto, CA; San Mateo, CA  Full-Time $70,000 - $110,000  Apply  Job Details  If you are a Production Support Engineer with 2+ years of experience, please read on!  Located in bea...
                    "
San Jose,CyberCoders,Principal Lead Engineer - Travel every quarter to Beijing!,CA,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Principal Lead Engineer - Bilingual in Chinese  San Jose, CA  Full-Time $100,000 - $150,000  Apply  Apply  Principal Lead Engineer - Bilingual in Chinese  San Jose, CA  Full-Time $100,000 - $150,000  Apply  Job Details  Located in San Jose, we are one of the world’s leading providers of content delivery network ...
                    "
Miami,CyberCoders,Senior PHP Software Engineer,FL,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Senior PHP Software Engineer  Miami, FL  Unspecified  Apply  Apply  Senior PHP Software Engineer  Miami, FL  Unspecified  Apply  Job Details  If you are a Senior/Lead Software Developer (LAMP) with experience, please read on!  Top Reasons to Work with Us  *** Full time, direct hire role  *** Work on a small team...
                    "
Fort Meade,CyberCoders,"Senior Java Software Engineer - TS/SCI, Full Scope Polygraph",MD,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Senior Java Software Engineer - TS/SCI, Full Scope Polygraph  Fort Meade, MD  Full-Time $70,000 - $130,000  Apply  Apply  Senior Java Software Engineer - TS/SCI, Full Scope Polygraph  Fort Meade, MD  Full-Time $70,000 - $130,000  Apply  Job Details  If you are a Senior Java Software Engineer with a TS/SCI - Full...
                    "
Rochester,CyberCoders,"Principal Software Engineer - FPGA, Firmware Development, RF Dig",NY,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Principal Software Engineer  Rochester, NY  Full-Time $90,000 - $160,000  Apply  Apply  Principal Software Engineer  Rochester, NY  Full-Time $90,000 - $160,000  Apply  Job Details  If you are a Principal Software Engineer with FPGA experience, please read on!  With an office in the Rochester area, we are a glob...
                    "
Cambridge,CyberCoders,Senior DevOps Engineer - Be our cloud expert?!,MA,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Senior DevOps Engineer  Cambridge, MA  Full-Time $100,000 - $130,000  Apply  Apply  Senior DevOps Engineer  Cambridge, MA  Full-Time $100,000 - $130,000  Apply  Job Details  Based in Cambridge, MA we are a 100 person, private company that is the industry leader! We have a very collaborative and innovative enviro...
                    "
Clairton,CyberCoders,".NET Developer - .NET, visual basic, HMI",PA,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  .NET Developer  Clairton, PA  Full-Time $50,000 - $80,000  Apply  Apply  .NET Developer  Clairton, PA  Full-Time $50,000 - $80,000  Apply  Job Details  Based in Clariton, PA we are a dynamic, rapidly growing manufacturer and distributor of thin film deposition systems and components for the vacuum technology mar...
                    "
Albuquerque,"Modrall Sperling Roehl Harris & Sisk, P.A.",Software Training Director,NM,"
                        Modrall Sperling, New Mexico’s largest Law Firm is seeking candidates for a Director of Training (Software):  The Director of Training is primarily responsible for providing training for our software applications, developing and modifying user learning programs/materials, and providing general applications support as required.  The Director of Training will be responsible for the successful design...
                    "
Fort Wayne,"Fort Wayne Orthopedics, LLC",EHR Template Developer,IN,"
                        EHR Template Developer  Fort Wayne Orthopedics is a large and growing musculoskeletal practice based in Fort Wayne, IN with thirteen clinic locations. Our specialty-trained experts are dedicated to providing exceptional, compassionate care in the treatment of orthopedic conditions.  We are seeking a full-time developer to assist with the design, development and support of NextGen based electronic ...
                    "
Needham,"Strategic Solutions Group, LLC",Full Stack Software Engineer,MA,"
                        Full Stack Software Engineer  About Us  As a high energy health information technology consulting company, Strategic Solutions Group (SSG) focuses on providing value driven solutions that positively impact the health and well-being of our nation. We combine expertise in project management, business analysis and information technology to provide superior business consulting services and software pr...
                    "
Savannah,CyberCoders,"eCommerce Web Developer - Magento, PHP, MySQL",GA,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  eCommerce Web Developer  Savannah, GA  Full-Time $50,000 - $90,000  Apply  Apply  eCommerce Web Developer  Savannah, GA  Full-Time $50,000 - $90,000  Apply  Job Details  If you are a eCommerce Web Developer with experience, please read on!  Top Reasons to Work with Us  1. We are an eCommerce agency specializing ...
                    "
Farmington,"Innovative Network Solutions, Inc",ERP Analyst,MI,"
                        Innovative Network Solutions is a forward-thinking IT Services firm located in Farmington, Michigan, serving clients in the metro-Detroit area. We focus on exceptional customer service, while taking care of technology needs. Our team works hard, accepts responsibility for excellence, and is rewarded for going the extra mile.  We have an immediate need for a full-time technical team member who can ...
                    "
Redmond,CyberCoders,"Engineering Manager - Project Management, Engineering Management",WA,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Engineering Manager  Redmond, WA  Full-Time $130,000 - $160,000  Apply  Apply  Engineering Manager  Redmond, WA  Full-Time $130,000 - $160,000  Apply  Job Details  Based in Redmond, WA we work with satellite technologies in both GEO and MEO orbits and we are working on bringing the world's first metamaterial-bas...
                    "
San Francisco,CyberCoders,iOS Developer- Fast-growing Start up,CA,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  iOS Developer  San Francisco , CA  Full-Time $100,000 - $175,000  Apply  Apply  iOS Developer  San Francisco , CA  Full-Time $100,000 - $175,000  Apply  Job Details  If you are an iOS Developer with experience, please read on!  Based in San Francisco, CA, we are a fast-growing start up company that specializes i...
                    "
Oshkosh,CyberCoders,Cisco Network Engineer - Well Established Company!!,WI,"
                        CyberCoders  Matching Great People with Great Companies  Learn more about CyberCoders  Cisco Network Engineer  Oshkosh, WI  Full-Time $60,000 - $100,000  Apply  Apply  Cisco Network Engineer  Oshkosh, WI  Full-Time $60,000 - $100,000  Apply  Job Details  If you are a Cisco Network Engineer with experience, please read on!  Our company, located in Oshkosh WI, is one of the most well established com...
                    "
