city,company,title,state,description
[u'Lincoln'],Nebraska State Government,"Information , Business Systems Analyst",['NE'],"
Base document imaging system, electronic Driver's Report system, Highway Safety Information system (HSI), Storefront, Electronic Collision Diagramming System,..."
[u'Saint Paul'],Patterson Companies,IT Administrative Coordinator,['MN'],"
6+ years of administrative assistant experience in a , environment. Proficient use of , to provide training and support on IT systems and..."
[u'Baltimore'],State of Maryland,IT ASSISTANT DIRECTOR II,['MD'],"
Certifications in SQL Server and/or Microsoft ,. Physical database design, construction, & implementation using current database ,...."
[u'Moberly'],"Worldwide Recycling Equipment Sales, LLC",IT Manager,['MO'],"
Defines the , infrastructure strategy to support the short-term and long-term business objectives of the organization...."
[u'American Fork'],Henry Schein,Support Tech 1,['UT'],"
Our solutions lead the market in , advances and market share, and include product leaders such as Dentrix, Easy Dental, Dentrix Enterprise, Dentrix..."
[u'New York'],Dell,Dell Customer Solutions Engineer (Remote New York Metro) Ame...,['NY'],"
Our team members follow an open approach to , innovation and believe that , is essential for human success...."
[u'Madison'],Attic Angel Association,IT Technician,['WI'],"
Assists with , planning through ongoing research. Two years of supporting desktop systems and communications devices using current ,...."
[u'Topeka'],Alorica,Technical Support Representative,['KS'],"
Join the Leader inthe Contact Center Business! Trusted by leadingFortune 500 and government agency clients, Alorica is an innovator in outsourced Contact"
[u'Santa Rosa Beach'],"Seaside Schools, Inc.",Algebra I Honors/,['FL'],"
Please visit www.seasideschool.net for information..."
[u'Des Moines'],Sogeti,IT Consultant,['IA'],"
We are a premier provider of information , services to businesses and public sector organizations. If you are a recent college graduate with a 3.2 or..."
[u'New York'],QuarterSpot,Finance Support Analyst,['NY 10001'],"
Interface with company’s , team on a regular basis to overall functionality of the admin platform...."
[u'Richardson'],Amdocs, Specialist,['TX'],"
, Specialist - Richardson, TX. Deep understanding of the middleware , (Web. Investigating new infrastructure , to meet business..."
[u'Kansas City'],Newberry Group,Help Desk Coordinator,['MO 64114'],"
Knowledge and working experience of the Service Desk Function and Incident Management Process based on the best practice guidance of Information ,..."
[u'New Castle'],Christiana Care,"Information , Application Analyst Job",['DE'],"
Information , Application Analyst. Three to four years of experience in Information ,. 11 Reads Way...."
[u'Riverton'],Diocese Of Salt Lake City,"Learning Commons Director (Library/Instructional ,)",['UT'],"
We are combining the Media Center/ Library program with our academic , program to integrate learning about information searching and use in a holistic..."
[u'Columbia'],Trigyn,Computer Operator (Mainframe),['SC'],"
High School education and 10 years computer operations experience TRIGYN ,, INC. Trigyn's Direct Government Client has a contract assignment for..."
[u'Phoenix'],"Maricopa County, AZ",Computer Forensic Crime Analyst,['AZ'],"
Assist all MCSO personnel in the seizure of computer and related high , storage devices. Work with investigators and prosecutors to assist in the..."
[u'Overland Park'],Teva Pharmaceuticals,"Position Title: Associate Director, IT Customer Service",['KS'],"
Ability to collaborate across the different , towers. Manage a team of IT support professionals and technicians in the delivery and support of the..."
[u'Oak Ridge'],"Information International Associates, Inc.",Jr Windows Systems Administrator,['TN'],"
Knowledge of server , (experience in recent version plus previous versions. Monitor and maintain computer systems including MS Windows, Active..."
[u'Dulles'],Swissport International Ltd.,"Senior Director, Operational Systems North America",['VA'],"
5+ years of experience as a , leader building and deploying aviation related operational systems. Maintains awareness and authoritative understanding..."
[u'Philadelphia'],"Springboard Media, Inc.", Teacher Leader,['PA 19107'],"
You will work with a variety of educational , products, primarily Apple , (including Mac, i...."
[u'Wilmington'],"Berkley , Services",IT Asset Coordinator,['DE 19809'],"
The IT Asset Coordinator will be responsible for all aspects of hardware, software, and related purchasing for Berkley , Services...."
[u'McLean'],Booz Allen Hamilton,Digital Strategist Job,['VA'],"
Demonstrate knowledge of current and emerging trends, methods, and , and provide thought leadership in relevant areas...."
[u'Rockville'],PowerTek Corporation,"Chief , Officer",['MD'],"
Chief , Officer. Building and managing the , team. Anticipating and reacting to major , changes...."
[u'Melville'],SunGard Financial Systems, Consultant,['NY'],"
Position Responsibilities\Requirements Due to the rapid growth of our new product lines, SunGard is looking to add a self-motivated individual who will bring"
[u'Boston'],Feeney Brothers Excavation LLC,IT Technician,['MA 02122'],"
Bachelor’s Degree (Information ,, Computer Science). Monitoring and maintaining , for maximum access, including:...."
[u'New York'],Trigyn,User Support / Technical Specialist (Deployment / Rollout /...,['NY'],"
TRIGYN ,, INC. Trigyn's Direct Government Client has a contract assignment for User Support / Technical Specialist in New York, NY...."
[u'New York'],Teachers College Columbia University, Coordinator,['NY'],"
Ability to learn new technologies; Effective at working both as part of a team and independently (e.g., Flip Book, CMS, Webinar/Chat ,)...."
[u'San Francisco'],University of California San Francisco Medical Cen...,"Director of IT Solution Engineering - Information ,...",['CA'],"
Reporting to the Director, Office of the CIO, the IT Director of Solutions Engineering will serve a critical leadership role as the person leading the"
[u'Wyckoff'],"TNTMAX, LLC",IT Consultant,['NJ'],"
Our firm is at the forefront of new ,, so the position is a great opportunity for a , junky who can think on their feet and would like to be..."
[u'Los Angeles'],Citent Inc,Software Development Project Manager,['CA'],"
One year experience on projects based on Google , ( App Engine development preferably). Citent, an IBM and Google Business partner, is in need of an..."
[u'Ashburn'],Visa,Data Center Infrastructure Management Director Job,['VA'],"
As a global payments , company, tech is at the heart of what we do:. This individual will have exposure to a broad set of , and be..."
[u'Saint Louis Park'],St. Louis Park Schools,Media Specialist 1.0 FTE,['MN 55426'],"
Integrating media and , skills into the curriculum; Media Specialist Careers at Saint Louis Park Public Schools...."
[u'Suwanee'],Gwinnett County Public Schools,"Local School , Coord - , Support",['GA'],"
Provide , leadership and oversee the planning of , initiatives. Collaborate with other local school , team members to ensure..."
[u'San Francisco'],Stifel Nicolaus,"Associate - , Investment Banking (Software) - SF",['CA'],"
Stifel is looking for an associate for the , Banking Group – Software in its San Francisco office. Investment Banking Associate (Technology:...."
[u'Murray'],"City of Murray, KY","Information , Assistant (Part-t...",['KY'],"
Information , Assistant (part-time). Information , Manager Class Characteristics:. Perform preventive maintenance on , equipment and..."
[u'Battle Creek'],Department of Veterans Affairs,Supervisory IT Specialist (Customer Support),['MI'],"
The Supervisory IT Specialist (Customer Support) provides a variety of services essential to the effective performance of VA installed systems. Work that"
[u'Tampa'],,Information Services Manager - Tampa,['FL'],"
2 years' experience supporting physician practices or (Login for information) s from an information , perspective strongly preferred...."
[u'Frisco'],Dell,Technical Analyst,['TX'],"
Our team members follow an open approach to , innovation and believe that , is essential for human success...."
[u'Cincinnati'],Axcess Financial,"Chief , Officer",['OH'],"
Ability to drive decisions in the areas of , platforms, acquisition of financial services systems, application architecture development, strategic..."
[u'Lawrenceville'],Gwinnett County,IT Supervisor (ITIL Delivery Systems Supervisor),['GA'],"
Bachelor's Degree in a , related field from an accredited college or university. We are dedicated to providing pragmatic , solutions for an..."
[u'North Kansas City'],"Fast Switch, Ltd.",IT Plant Support Specialist North Kansas City - 45764,['MO'],"
500 companies, and , start-ups. GENERAL PURPOSE OF THE JOB :...."
[u'Statesville'],City of Statesville,IT Technician,['NC'],"
INFORMATION , TECHNICIAN. Finance - IT/Data Processing Division...."
[u'El Paso'],General Dynamics Advanced Information Systems,IT User Support Specialist (Tier 2),['TX'],"
General Dynamics Mission Systems, a market leader and , innovator, is seeking talented professionals to deliver cutting edge solutions to our customers..."
[u'Polk County'],Iowa Department of Administrative Services,"Information , Director",['IA'],"
INFORMATION , PROJECT MANAGEMENT [737]. Supervises and evaluates the work of 5-6 permanent and contracted information , staff;..."
[u'New York'],Relay Graduate School of Education, Coordinator,['NY'],"
, Support and Logistics. Relay's , Coordinator plays a critical role in ensuring an effective and productive environment for our graduate..."
[u'Austin'],General Motors,IT Operations Manager,['TX'],"
This position is in General Motors’ (GM) Information , (IT) Midrange Platform Services organization (MPS)...."
[u'Caribou'],AMHC,"Information , Specialist",['ME'],"
Knowledge and experience in healthcare , practices is preferred. Specific duties assigned to the Information , Specialist may include but are..."
[u'Brandon'],On-Site Fuel Service,IT Support Specialist - SQL EXPERIENCE NECESSARY,['MS'],"
Under the direction of the Information , (IT) Manager:. Configure, test and work on hardware including servers, fuel , specific handheld..."
[u'Burlington'],Aurora HealthCare,Surgical Technologist I- Aurora Memorial Hospital of Burling...,['WI'],"
Advanced training beyond High School that includes the completion of an accredited or approved program in Surgical ,. Imagine Yourself Here......"
[u'Pine Bluff'],Southeast Arkansas College,"Information Systems , Instructor (Adjunct)",['AR'],"
Varies teaching techniques and incorporates current ,. Information Systems , faculty are professionals with the responsibility of providing a..."
[u'Buffalo'],University at Buffalo,"Information , Specialist",['NY'],"
Knowledge of current web , and experience with CSS, XHTML, Javascript, PHP, My. The information , specialist provides support for PC..."
[u'Manhattan'],The Children's Aid Society,Manager IT Operations & Support Services,['NY'],"
IP systems, telephony, integrated copier ,. Create atmosphere that supports and encourages awareness of new business and , developments...."
[u'Mechanicsburg'],Naval Supply Systems Command,IT Specialist,['PA'],"
Per SECNAV manual 5510.30, this position is non-critical sensitive based on the Information , (IT) Level ll access requirements...."
[u'Rapid City'],Rapid City Area Schools,Information Media Specialist,['SD 57701'],"
Informational Media Specialist AR.pdf Strong , background and library experience preferred. Library experience preferred...."
[u'Lincoln'],University of Nebraska, Support Associate,['NE'],"
Associate’s degree in computer , or a related field plus one year of computer , support experience including ,-based customer service..."
[u'New York'],AC Lion,Director of Digital Strategic Development,['NY'],"
Develop a rich understanding of the digital marketplace and emerging ,. Looking for an exciting new role?..."
[u'Saint Marys City'],St. Mary's College of Maryland,Assistant Vice President of Information ,['MD 20686'],"
Information , experience within higher education; Management level experience in a higher education environment and a minimum of five years’ experience..."
[u'Farmington'],Nemacolin Woodlands Resort,Director of IT,['PA'],"
Director of Information Technology; Research new developments in , for the resort. Determine the direction of company with regards to upcoming..."
[u'Fort Belvoir'],Lynxnet,Service Desk Tech I (TS w/SC eligibility),['VA'],"
Knowledge of Information , Infrastructure Library V3 (ITIL). 3+ years’ experience in IA , or a related information systems security area...."
[u'Ann Arbor'],Department of Veterans Affairs,"Information , Specialist (Network/Customer Support)",['MI'],"
The IT Specialist will assist in the operation and maintenance of the Local Area Network (LAN) resources, analyze and define network requirements and"
[u'Long Beach'],Molina Healthcare,NOC - Supervisor IT,['CA'],"
Advanced knowledge in related , vertical (e.g.:. Directly supervises and responsible for the day-to-day performance of a team or shift...."
